chembl_id,pref_name,atc,drh_indication,drh_moa,pain_prior,cns_prior
CHEMBL2,PRAZOSIN,C02CA01,hypertension,adrenergic receptor antagonist,False,True
CHEMBL3,NICOTINE,N07BA01,smoking cessation,acetylcholine receptor agonist,False,True
CHEMBL4,OFLOXACIN,J01MA01;S02AA16;S01AE01,respiratory tract infections|sinusitis|skin infections|bone and joint infections|intra-abdominal infections|diarrhea|fever|urinary tract infections,bacterial DNA gyrase inhibitor,False,False
CHEMBL5,NALIDIXIC ACID,J01MB02,,,False,False
CHEMBL6,INDOMETHACIN,C01EB03;M02AA23;M01AB51;S01BC01;M01AB01,rheumatoid arthritis|ankylosing spondylitis|osteoarthritis|bursitis|tendinitis,cyclooxygenase inhibitor,False,False
CHEMBL403,SULBACTAM,J01CG01,skin infections|intra-abdominal infections|gynecologic infections,beta lactamase inhibitor,False,False
CHEMBL404,TAZOBACTAM,J01CG02,pneumonia,beta lactamase inhibitor,False,False
CHEMBL8,CIPROFLOXACIN,J01MA02;S03AA07;S01AE03;S02AA15,otitis,bacterial DNA gyrase inhibitor,False,False
CHEMBL9,NORFLOXACIN,J01MA06;S01AE02,urinary tract infections|gonorrhea|prostatitis,bacterial DNA gyrase inhibitor,False,False
CHEMBL405,AMPHETAMINE,N06BA01,,,False,True
CHEMBL6622,ISOSORBIDE DINITRATE,C05AE02;C01DA08;C01DA58,,,False,False
CHEMBL6437,MIANSERIN,N06AX03,depression,serotonin receptor antagonist,False,True
CHEMBL11,IMIPRAMINE,N06AA02,depression|nocturnal enuresis,norepinephrine reputake inhibitor|serotonin reuptake inhibitor,False,True
CHEMBL406,INDAPAMIDE,C03BA11,hypertension|congestive heart failure,thiazide diuretic,False,False
CHEMBL407,FLUMAZENIL,V03AB25,sedative,benzodiazepine receptor antagonist,False,True
CHEMBL408,TROGLITAZONE,A10BG01,,insulin sensitizer|PPAR receptor agonist,False,False
CHEMBL409,BICALUTAMIDE,L02BB03,prostate cancer,androgen receptor antagonist,False,False
CHEMBL12,DIAZEPAM,N05BA01,,,True,True
CHEMBL13,METOPROLOL,C07AB02,hypertension|angina pectoris|myocardial infarction,adrenergic receptor antagonist,False,True
CHEMBL411,DIETHYLSTILBESTROL,G03CB02;G03CC05;L02AA01,,estrogen receptor agonist,False,False
CHEMBL267936,MECAMYLAMINE,C02BB01,hypertension,acetylcholine receptor antagonist,False,True
CHEMBL14,CARBACHOL,N07AB01;S01EB02,intraocular pressure,cholinergic receptor agonist,False,True
CHEMBL16,PHENYTOIN,N03AB02;N03AB52,seizures,hydantoin antiepileptic,True,True
CHEMBL269732,TACROLIMUS ANHYDROUS,,,,False,False
CHEMBL415,CLOMIPRAMINE,N06AA04,obsessive compulsive disorder (OCD),serotonin transporter (SERT) inhibitor,False,True
CHEMBL416,METHOXSALEN,D05BA02;D05AD02,psoriasis,DNA synthesis inhibitor,False,False
CHEMBL17,DICHLORPHENAMIDE,S01EC02,,,False,False
CHEMBL18,ETHOXZOLAMIDE,,glaucoma|duodenal ulcer disease,carbonic anhydrase inhibitor,False,False
CHEMBL417,EPIRUBICIN,L01DB03,breast cancer,topoisomerase inhibitor,False,False
CHEMBL19,METHAZOLAMIDE,S01EC05,glaucoma|intraocular pressure,carbonic anhydrase inhibitor,False,False
CHEMBL20,ACETAZOLAMIDE,S01EC01,glaucoma,carbonic anhydrase inhibitor,False,False
CHEMBL419,MAFENIDE,D06BA03,first-aid antibiotic|skin infections,carbonic anhydrase inhibitor,False,False
CHEMBL21,SULFANILAMIDE,D06BA05;J01EB06,vulvovaginal candidiasis,carbonic anhydrase inhibitor,False,False
CHEMBL420,GUANABENZ,,,,False,False
CHEMBL22,TRIMETHOPRIM,J01EA01,urinary tract infections|ear infections|diarrhea,dihydrofolate reductase inhibitor,False,False
CHEMBL6966,VERAPAMIL,C08DA01;C08DA51,hypertension,calcium channel blocker,False,True
CHEMBL421,SULFASALAZINE,A07EC01,ulcerative colitis,cyclooxygenase inhibitor,False,False
CHEMBL6466,COUMARIN,,ulcerative colitis|asthma|celiac disease,vitamin K antagonist,False,False
CHEMBL23,DILTIAZEM,C05AE03;C08DB01,hypertension|angina pectoris,calcium channel blocker,False,True
CHEMBL24,ATENOLOL,C07AB03,,,False,False
CHEMBL25,ASPIRIN,B01AC06;N02BA01;N02BA51;A01AD05;N02BA71,headache|fever|toothache|muscle pain,cyclooxygenase inhibitor,False,True
CHEMBL422,TRIFLUOPERAZINE,N05AB06,schizophrenia,dopamine receptor antagonist,False,True
CHEMBL26,SULPIRIDE,N05AL01,schizophrenia,dopamine receptor antagonist,False,True
CHEMBL423,BETAXOLOL,S01ED52;C07AB05;S01ED02,intraocular pressure|glaucoma|ocular hypertension,adrenergic receptor antagonist,False,True
CHEMBL424,SALICYLIC ACID,S01BC08;D01AE12,,,False,False
